Safe,High,Low,Uncertainty,Center,BlueHeight,RedHeight,Rmoney,Bmoney
5,20,0,0.01,0,0.5,0.5,,
5,20,0,0.1,0,0.5,0.5,,
5,20,0,0.2,0,0.5,0.5,,
5,20,0,0.3,0,0.5,0.5,,
5,20,0,0.4,0,0.5,0.5,,
5,20,0,0.5,0,0.5,0.5,,
5,20,0,0.6,0,0.5,0.5,,
5,20,0,0.7,0,0.5,0.5,,
5,20,0,0.8,0,0.5,0.5,,
5,20,0,0.85,0,0.5,0.5,,
5,20,0,0.01,0.25,0.75,0.25,,
5,20,0,0.1,0.25,0.75,0.25,,
5,20,0,0.2,0.25,0.75,0.25,,
5,20,0,0.3,0.25,0.75,0.25,,
5,20,0,0.01,-0.25,0.25,0.75,,
5,20,0,0.1,-0.25,0.25,0.75,,
5,20,0,0.2,-0.25,0.25,0.75,,
5,20,0,0.3,-0.25,0.25,0.75,,
