text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
red,0,down,green,0,0,0,1,down,1,1.10160088539,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,0,left,red,0,1,1,5,left,1,0.80073595047,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,0,right,blue,0,2,2,3,right,1,1.600949049,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,1,right,blue,0,3,3,4,right,1,0.551952838898,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,1,down,green,0,4,4,2,down,1,0.951246976852,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,1,left,red,0,5,5,0,left,1,1.06936597824,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,1,right,blue,1,0,6,4,down,0,1.06758999825,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,0,left,red,1,1,7,5,down,0,1.98471283913,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,1,left,red,1,2,8,0,left,1,0.700466871262,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,0,right,blue,1,3,9,3,right,1,0.816699028015,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,0,down,green,1,4,10,1,down,1,1.01875209808,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,1,down,green,1,5,11,2,down,1,0.634799957275,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,1,right,blue,2,0,12,4,right,1,0.916523933411,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,1,left,red,2,1,13,0,left,1,0.818225860596,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,0,down,green,2,2,14,1,right,0,0.934299945831,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,1,down,green,2,3,15,2,down,1,0.550788879395,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,0,right,blue,2,4,16,3,right,1,0.900079965591,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,0,left,red,2,5,17,5,left,1,1.91806197166,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,1,left,red,3,0,18,0,left,1,8.18575406075,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,0,down,green,3,1,19,1,down,1,1.31827712059,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,1,down,green,3,2,20,2,down,1,0.601072072983,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,0,right,blue,3,3,21,3,right,1,0.66635799408,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,1,right,blue,3,4,22,4,right,1,2.88611412048,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,0,left,red,3,5,23,5,left,1,1.36648011208,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,0,right,blue,4,0,24,3,right,1,3.51903104782,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,1,right,blue,4,1,25,4,right,1,0.518123865128,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,1,left,red,4,2,26,0,left,1,0.633810997009,2017_Aug_23_1117,59.6933288929,stroop,01,000,
red,0,down,green,4,3,27,1,down,1,0.618286132812,2017_Aug_23_1117,59.6933288929,stroop,01,000,
green,1,down,green,4,4,28,2,down,1,0.466554880142,2017_Aug_23_1117,59.6933288929,stroop,01,000,
blue,0,left,red,4,5,29,5,left,1,0.599767923355,2017_Aug_23_1117,59.6933288929,stroop,01,000,
