text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
red,1,left,red,0,0,0,0,left,1,0.117152929306,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,1,down,green,0,1,1,2,left,0,0.0839560031891,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,0,down,green,0,2,2,1,right,0,0.0344469547272,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,0,right,blue,0,3,3,3,down,0,0.151580095291,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,1,right,blue,0,4,4,4,down,0,0.0510249137878,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,0,left,red,0,5,5,5,right,0,0.0171451568604,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,1,down,green,1,0,6,2,down,1,0.318285942078,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,0,left,red,1,1,7,5,down,0,0.000771045684814,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,0,down,green,1,2,8,1,right,0,0.300806999207,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,1,left,red,1,3,9,0,down,0,0.0858759880066,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,0,right,blue,1,4,10,3,down,0,0.0507388114929,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,1,right,blue,1,5,11,4,left,0,0.16796207428,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,0,left,red,2,0,12,5,right,0,0.13417506218,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,0,down,green,2,1,13,1,right,0,0.0341770648956,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,0,right,blue,2,2,14,3,left,0,0.150828123093,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,1,right,blue,2,3,15,4,left,0,0.100898981094,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,1,left,red,2,4,16,0,down,0,0.184417963028,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,1,down,green,2,5,17,2,right,0,0.116610050201,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,1,down,green,3,0,18,2,left,0,0.0343589782715,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,0,left,red,3,1,19,5,right,0,0.0503680706024,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,0,right,blue,3,2,20,3,left,0,0.0679409503937,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,1,right,blue,3,3,21,4,right,1,0.11696100235,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,0,down,green,3,4,22,1,left,0,0.184226989746,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,1,left,red,3,5,23,0,right,0,0.0671651363373,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,1,right,blue,4,0,24,4,left,0,0.234477043152,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,1,down,green,4,1,25,2,right,0,0.0508680343628,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,0,down,green,4,2,26,1,left,0,0.0672240257263,2017_Aug_25_1354,59.7099848245,stroop,01,,
blue,0,left,red,4,3,27,5,right,0,0.118394851685,2017_Aug_25_1354,59.7099848245,stroop,01,,
red,1,left,red,4,4,28,0,down,0,0.35148191452,2017_Aug_25_1354,59.7099848245,stroop,01,,
green,0,right,blue,4,5,29,3,down,0,0.184209108353,2017_Aug_25_1354,59.7099848245,stroop,01,,
